institution_id,country,country_code,name_canonical,name_display,institution_name_norm,legacy_ids,aliases
517,USA,US,Islamic Relief University of Texas at Dallas,Islamic Relief University of Texas at Dallas,islamic relief university of texas at dallas,"[""1519""]",[]
518,Canada,CA,Islamic Relief UOttawa,Islamic Relief UOttawa,islamic relief uottawa,"[""1086""]",[]
519,Canada,CA,Islamic Relief USask,Islamic Relief USask,islamic relief usask,"[""1092""]",[]
520,Canada,CA,Islamic Relief UTM,Islamic Relief UTM,islamic relief utm,"[""66""]",[]
521,UK,GB,Islamic Relief West Midlands,Islamic Relief West Midlands,islamic relief west midlands,"[""590""]",[]
522,South Africa,ZA,Islamic Relief Witbank,Islamic Relief Witbank,islamic relief witbank,"[""1520""]",[]
523,UK,GB,Islamic Relief Worldwide,Islamic Relief Worldwide,islamic relief worldwide,"[""641""]",[]
524,Canada,CA,Islamic Relief: UTSC Chapter,Islamic Relief: UTSC Chapter,islamic relief utsc chapter,"[""1521""]",[]
525,USA,US,Islamic school or Rhode Island,Islamic school or Rhode Island,islamic school or rhode island,"[""1522""]",[]
526,UK,GB,Islamic Society at University of Warwick,Islamic Society at University of Warwick,islamic society at university of warwick,"[""1523""]",[]
527,USA,US,Islamic Society of Boston Sunday School,Islamic Society of Boston Sunday School,islamic society of boston sunday school,"[""1232""]",[]
528,USA,US,Islamic Society of Boston Universit,Islamic Society of Boston Universit,islamic society of boston universit,"[""845""]",[]
529,USA,US,Islamic Society of Denton,Islamic Society of Denton,islamic society of denton,"[""1524""]",[]
530,USA,US,Islamic Society of Northeastern University,Islamic Society of Northeastern University,islamic society of northeastern university,"[""669""]",[]
531,USA,US,Islamic Society of Western Massachusetts,Islamic Society of Western Massachusetts,islamic society of western massachusetts,"[""762""]",[]
532,UK,GB,Islamic Students Network,Islamic Students Network,islamic students network,"[""1525""]",[]
533,Germany,DE,Islamisch Albanisches Zentrum Sindelfingen Böblingen,Islamisch Albanisches Zentrum Sindelfingen Böblingen,islamisch albanisches zentrum sindelfingen b blingen,"[""281""]",[]
534,Germany,DE,Islamisch-Albanisches Zentrum e.V. & Qendra Islame Shqiptare Stuttgart,Islamisch-Albanisches Zentrum e.V. & Qendra Islame Shqiptare Stuttgart,islamisch albanisches zentrum e v qendra islame shqiptare stuttgart,"[""195""]",[]
535,Germany,DE,Islamische Hochschulgemeinde Frankfurt,Islamische Hochschulgemeinde Frankfurt,islamische hochschulgemeinde frankfurt,"[""234""]",[]
536,Germany,DE,Islamische Hochschulgemeinde Hamburg (IHG Hamburg),Islamische Hochschulgemeinde Hamburg (IHG Hamburg),islamische hochschulgemeinde hamburg ihg hamburg,"[""253""]",[]
537,Germany,DE,Islamische Hochschulgemeinde Lübeck,Islamische Hochschulgemeinde Lübeck,islamische hochschulgemeinde l beck,"[""1124""]",[]
538,Germany,DE,Islamische Hochschulgemeinschaft Wuppertal,Islamische Hochschulgemeinschaft Wuppertal,islamische hochschulgemeinschaft wuppertal,"[""1125""]",[]
539,Germany,DE,Islamische Hochschulvereinigung Hannover (IHV),Islamische Hochschulvereinigung Hannover (IHV),islamische hochschulvereinigung hannover ihv,"[""1304""]",[]
540,Germany,DE,Islamische Hoschschulgruppe Kiel,Islamische Hoschschulgruppe Kiel,islamische hoschschulgruppe kiel,"[""1526""]",[]
541,Germany,DE,Islamische Jugend Aachen e.V.,Islamische Jugend Aachen e.V.,islamische jugend aachen e v,"[""219""]",[]
542,Germany,DE,Islamische Zentrum Frankfurt (IZF) Schwestern Halaqa,Islamische Zentrum Frankfurt (IZF) Schwestern Halaqa,islamische zentrum frankfurt izf schwestern halaqa,"[""258""]",[]
543,Germany,DE,Islamischer Hochschulbund Dresden,Islamischer Hochschulbund Dresden,islamischer hochschulbund dresden,"[""1145""]",[]
544,Germany,DE,Islamisches Zentrum für Albaner e.V.,Islamisches Zentrum für Albaner e.V.,islamisches zentrum f r albaner e v,"[""1527""]",[]
545,Canada,CA,Island Peace Community,Island Peace Community,island peace community,"[""167""]",[]
546,Canada,CA,ISNA Elementary school,ISNA Elementary school,isna elementary school,"[""62""]",[]
547,Canada,CA,ISNA Schools,ISNA Schools,isna schools,"[""1528""]",[]
548,Canada,CA,ISO Assistenten / The A-Team - Canada,ISO Assistenten / The A-Team - Canada,iso assistenten the a team canada,"[""81""]",[]
549,Germany,DE,ISO Assistenten / The A-Team - Germany,ISO Assistenten / The A-Team - Germany,iso assistenten the a team germany,"[""1529""]",[]
550,USA,US,ISRA Foundation,ISRA Foundation,isra foundation,"[""817""]",[]
551,Germany,DE,IZM Jugend,IZM Jugend,izm jugend,"[""279""]",[]
552,Canada,CA,Jack.Org UCalgary,Jack.Org UCalgary,jack org ucalgary,"[""135""]",[]
553,USA,US,Jamaat uI Muttaqeen,Jamaat uI Muttaqeen,jamaat ui muttaqeen,"[""1006""]",[]
554,USA,US,Jamat ibadarrahman,Jamat ibadarrahman,jamat ibadarrahman,"[""809""]",[]
555,Canada,CA,James Fowler High School MYC,James Fowler High School MYC,james fowler high school myc,"[""1530""]",[]
556,USA,US,James Madison University’s MSA,James Madison University’s MSA,james madison university s msa,"[""1531""]",[]
557,Germany,DE,Jamia Masjid Ghousia,Jamia Masjid Ghousia,jamia masjid ghousia,"[""1126""]",[]
558,USA,US,JCCC muslim student association,JCCC muslim student association,jccc muslim student association,"[""985""]",[]
559,South Africa,ZA,Jewelled by Thaakirah,Jewelled by Thaakirah,jewelled by thaakirah,"[""440""]",[]
560,USA,US,JHUMA,JHUMA,jhuma,"[""822""]",[]
561,UK,GB,JLR,JLR,jlr,"[""1532""]",[]
562,USA,US,JMC Masjid,JMC Masjid,jmc masjid,"[""698""]",[]
563,Canada,CA,John Abott College Muslim Student Association,John Abott College Muslim Student Association,john abott college muslim student association,"[""1533""]",[]
564,USA,US,John Carroll University,John Carroll University,john carroll university,"[""721""]",[]
565,Canada,CA,John G Diefenbaker MYC,John G Diefenbaker MYC,john g diefenbaker myc,"[""180""]",[]
566,USA,US,John Jay College of Criminal Justice,John Jay College of Criminal Justice,john jay college of criminal justice,"[""1535""]",[]
567,USA,US,John Jay MSA,John Jay MSA,john jay msa,"[""650""]",[]
568,USA,US,Johns Hopkins University,Johns Hopkins University,johns hopkins university,"[""1536""]",[]
569,USA,US,Johnson & Wales MSA,Johnson & Wales MSA,johnson wales msa,"[""741""]",[]
570,Canada,CA,Johnston Heights MSA,Johnston Heights MSA,johnston heights msa,"[""1537""]",[]
571,Malaysia,MY,JPP JKE PSA,JPP JKE PSA,jpp jke psa,"[""332""]",[]
572,UK,GB,Juices4life,Juices4life,juices4life,"[""609""]",[]
